# length                 R                      Z                      theta_geo              Phi                    T_e                    Te_float               Phi_float              Phi_error              Phi_Te_ratio           vparB_norm             vExB_norm              vflow_norm             partF_vpar             partF_ExB              
# time step #000500,  t_now =   1.411010E+02
  0.000000000000000E+00  1.584564909533678E+00 -1.181616666930306E+00  4.657146567394302E+00  1.431912690906569E+01  4.773042303022316E+00  4.773042303022316E+00  1.431912690906695E+01 -1.261213355974178E-12  2.999999999999736E+00  2.118646175517015E+03 -2.851361866530645E+02  1.833509988863950E+03  1.713830189040504E+21 -2.306543727409595E+20
  0.000000000000000E+00  1.584688421544466E+00 -1.181174365125259E+00  4.657231250497876E+00  1.456146214707050E+01  4.853820715690470E+00  4.853820715690470E+00  1.456146214707141E+01 -9.094947017729282E-13  2.999999999999813E+00  2.149073573374877E+03 -2.775869137550413E+02  1.871486659619835E+03  1.739724159379430E+21 -2.247129489516923E+20
  0.000000000000000E+00  1.584811933554487E+00 -1.180732063319997E+00  4.657315998656742E+00  1.479740616205562E+01  4.932468720685246E+00  4.932468720685246E+00  1.479740616205574E+01 -1.243449787580175E-13  2.999999999999975E+00  2.178541488523002E+03 -2.703392605059672E+02  1.908202228017035E+03  1.764937009605350E+21 -2.190143123415138E+20
  0.000000000000000E+00  1.584935445564508E+00 -1.180289761514735E+00  4.657400811945342E+00  1.502721974676568E+01  5.009073248921672E+00  5.009073248921672E+00  1.502721974676502E+01  6.572520305780927E-13  3.000000000000131E+00  2.207059428514019E+03 -2.633932977019605E+02  1.943666130812059E+03  1.789478406386140E+21 -2.135586439291480E+20
  0.000000000000000E+00  1.585058957575296E+00 -1.179847459709688E+00  4.657485690438232E+00  1.525116369394535E+01  5.083721231314779E+00  5.083721231314779E+00  1.525116369394434E+01  1.012523398458143E-12  3.000000000000199E+00  2.234636857419341E+03 -2.567490961390649E+02  1.977887761280276E+03  1.813357914578637E+21 -2.083461587948366E+20
  0.000000000000000E+00  1.585181285820662E+00 -1.179409397024325E+00  4.657569819779729E+00  1.546739944446539E+01  5.155799814821530E+00  5.155799814821530E+00  1.546739944446459E+01  7.958078640513122E-13  3.000000000000155E+00  2.261046935817098E+03 -2.503618692463353E+02  2.010685066570762E+03  1.836377509140327E+21 -2.033389482311449E+20
  0.000000000000000E+00  1.585303614066810E+00 -1.178971334339181E+00  4.657654013226247E+00  1.567822669398276E+01  5.226075564660815E+00  5.226075564660815E+00  1.567822669398245E+01  3.161915174132446E-13  3.000000000000061E+00  2.286582110713098E+03 -2.441039057360009E+02  2.042478204977097E+03  1.858789961107765E+21 -1.984349861408524E+20
  0.000000000000000E+00  1.585425942312959E+00 -1.178533271654038E+00  4.657738270849207E+00  1.588375651532101E+01  5.294585505107058E+00  5.294585505107058E+00  1.588375651532118E+01 -1.652011860642233E-13  2.999999999999969E+00  2.311248379899108E+03 -2.379752357603058E+02  2.073273144138802E+03  1.880601375663912E+21 -1.936341241542854E+20
  0.000000000000000E+00  1.585548270558325E+00 -1.178095208968675E+00  4.657822592720137E+00  1.608409998130369E+01  5.361366660434689E+00  5.361366660434689E+00  1.608409998130407E+01 -3.836930773104541E-13  2.999999999999929E+00  2.335051722676090E+03 -2.319758894714000E+02  2.103075833204690E+03  1.901817745399052E+21 -1.889362273294003E+20
  0.000000000000000E+00  1.585669131369340E+00 -1.177662401225242E+00  4.657905966244209E+00  1.627703545290196E+01  5.425678484300763E+00  5.425678484300763E+00  1.627703545290229E+01 -3.304023721284466E-13  2.999999999999939E+00  2.357743413752385E+03 -2.261120963070555E+02  2.131631317445329E+03  1.922213773617877E+21 -1.843439720233614E+20
